Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/stats,32261,0,170.0,171.63986201159264,8.575541000000019,759.4677499999998,66.72486903691764,268.73351311163816,0.0,170,180,180,190,200,230,290,350,570,670,760
POST,/api/coupon/grab,161137,0,170.0,171.4000835065977,16.455917000000042,888.3853750000004,93.06339326163452,1342.268128770653,0.0,170,180,180,190,200,230,290,340,560,670,890
POST,/api/like,96537,0,170.0,171.32866203355314,8.199417000000043,887.5246670000001,52.906864725442055,804.1513640388771,0.0,170,180,180,190,200,230,290,350,560,650,890
,Aggregated,289935,0,170.0,171.40298305169023,8.199417000000043,888.3853750000004,76.76216048424646,2415.153005921168,0.0,170,180,180,190,200,230,290,340,560,670,890
