Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/stats,32137,0,170.0,171.94529030454086,18.104916999999944,654.8662500000004,65.12527616143386,267.7623183454567,0.0,170,180,190,190,210,220,280,320,460,610,650
POST,/api/coupon/grab,161313,0,170.0,171.17303319411937,7.324541000000018,946.2784580000001,113.30779912344325,1344.0440258661563,0.0,170,180,190,190,210,220,280,320,460,760,950
POST,/api/like,96410,0,170.0,171.3273284919187,16.401917000000044,945.9950839999998,73.42997614355357,803.2786231348751,0.0,170,180,190,190,210,220,280,320,460,700,950
,Aggregated,289860,0,170.0,171.30997391177374,7.324541000000018,946.2784580000001,94.70204926516249,2415.084967346488,0.0,170,180,190,190,210,220,280,320,460,700,950
